default_name,version,is_default,rt_id_array,displayed_version_name
Jenny,{Whoverse},f,{43},Doctor Who
Kiri,{Conquest},f,{71},Mortal Kombat: Conquest
Ankha,{Conquest},f,{71},Mortal Kombat: Conquest
Noob Saibot,{Conquest},f,{72},Mortal Kombat: Conquest
Raiden,{Conquest},f,{73},Mortal Kombat: Conquest
Mick Foley,{WWE},t,{75},WWF/WWE
The Undertaker,{WWE},t,{76},WWE
Mick Foley,"{`"World Wrestling Entertainment`"}",t,{75},WWF/WWE
The Undertaker,"{`"World Wrestling Entertainment`"}",t,{76},WWE
The Ray,{Arrowverse},f,{32},CW Arrowverse
Deathstroke,{Arrowverse},f,{15},CW Arrowverse
Green Arrow,{Arrowverse},f,{16},CW Arrowverse
Captain Cold,{Arrowverse},f,{18},CW Arrowverse
Calvin,{Hobbes},f,"{1479,1480}",Calvin and Hobbes
Girder,{Arrowverse},f,{20},CW Arrowverse
Gorilla Grodd,{Arrowverse},f,{23},CW Arrowverse
King Shark,{Arrowverse},f,{24},CW Arrowverse
Reverse Flash,{Arrowverse},f,{25},CW Arrowverse
Solovar,{Arrowverse},f,{26},CW Arrowverse
Weather Wizard,{Arrowverse},f,{27},CW Arrowverse
Zoom,{Arrowverse},f,{28},CW Arrowverse
Kuasa,{Arrowverse},f,{29},CW Arrowverse
Vixen,{Arrowverse},f,{30},CW Arrowverse
John Constantine,{Arrowverse},f,{31},CW Arrowverse
Superman,{Arrowverse},f,{34},CW Arrowverse
Angel,{Buffy},f,{35},Buffy the Vampire Slayer
Angelus,{Buffy},f,{35},Buffy the Vampire Slayer
Buffy Summers,{Buffy},f,{36},Buffy the Vampire Slayer
Genevieve Savidge,{Buffy},f,{37},Buffy the Vampire Slayer
Luke,{Buffy},f,{38},Buffy the Vampire Slayer
Batman,"{`"Adam West`"}",f,{77},Adam West/1966 TV Series
Jaws,"{`"Great White`"}",f,{20627},""
The Tenth Doctor,"{`"Doctor Who`"}",t,{40},Doctor Who
"Grant Gordon, the Ghost","{`"Doctor Who`"}",f,{41},Doctor Who
Heather,"{`"Doctor Who`"}",f,{42},Doctor Who
Space Oil,"{`"Doctor Who`"}",f,{42},Doctor Who
Jenny,"{`"Doctor Who`"}",f,{43},Doctor Who
