name,default_name,is_team
Ultimate Hulk,Ultimate Hulk,f
Slade Wilson,Deathstroke,f
Slade,Deathstroke,f
Oliver Queen,Green Arrow,f
Green Arrow,Green Arrow,f
Leonard Snart,Captain Cold,f
Captain Cold,Captain Cold,f
Calvin,Calvin,f
Hobbes,Hobbes,f
Girder,Girder,f
Tony Woodward,Girder,f
Grodd,Gorilla Grodd,f
King Shark,King Shark,f
Shay Lamden,King Shark,f
Karas,Karas,f
Maes Hughes,Maes Hughes,f
Frank Archer,Frank Archer,f
Solovar,Solovar,f
Mark Mardon,Weather Wizard,f
Weather Wizard,Weather Wizard,f
Zoom,Zoom,f
Zolomon,Zoom,f
Kuasa,Kuasa,f
Mari McCabe,Vixen,f
Vixen,Vixen,f
The Ray,The Ray,f
Beebo,Beebo,f
Shess,Shess,f
Angel,Angel,f
Angelus,Angelus,f
Buffy the Vampire Slayer,Buffy Summers,f
Buffy Anne Summers,Buffy Summers,f
Buffy Summers,Buffy Summers,f
Genevieve Savidge,Genevieve Savidge,f
Luke,Luke,f
Constantine,Constantine,f
Rai Washio,Rai Washio,f
Washio Rai,Rai Washio,f
Grant Gordon,"Grant Gordon, the Ghost",f
The Ghost,"Grant Gordon, the Ghost",f
Heather,Heather,f
Space Oil,Space Oil,f
Sentient Oil,Space Oil,f
Jenny,Jenny,f
Terui Ryu,Kamen Rider Accel,f
Ryu Terui,Kamen Rider Accel,f
Kamen Rider Accel,Kamen Rider Accel,f
Jin Takayama,Kamen Rider Amazon Alpha,f
Amazon Rider Alpha,Kamen Rider Amazon Alpha,f
Alpha,Alpha,f
Amazon Alpha,Kamen Rider Amazon Alpha,f
Haruka Mizusawa,Kamen Rider Amazon Omega,f
Mizusawa Haruka,Kamen Rider Amazon Omega,f
Amazon Rider Omega,Kamen Rider Amazon Omega,f
Amazon Omega,Kamen Rider Amazon Omega,f
Omega,Omega,f
Sento Kiryu,Kamen Rider Build,f
Kiryu Sento,Kamen Rider Build,f
Rider Build,Kamen Rider Build,f
Rider Chaser,Kamen Rider Chaser,f
